method,runtime,input_size
kdtree_gpu_V100,0.21534419059753418,2500
kdtree_gpu_V100,0.21374082565307617,2500
kdtree_gpu_V100,0.2108008861541748,2500
kdtree_gpu_V100,0.2138822078704834,2500
kdtree_gpu_V100,0.21214032173156738,2500
kdtree_gpu_V100,0.21254992485046387,2500
kdtree_gpu_V100,0.214127779006958,2500
kdtree_gpu_V100,0.21128416061401367,2500
kdtree_gpu_V100,0.21024012565612793,2500
kdtree_gpu_V100,0.21355295181274414,2500
kdtree_gpu_V100,0.29343509674072266,10000
kdtree_gpu_V100,0.2953152656555176,10000
kdtree_gpu_V100,0.2913675308227539,10000
kdtree_gpu_V100,0.2927284240722656,10000
kdtree_gpu_V100,0.29190492630004883,10000
kdtree_gpu_V100,0.2896134853363037,10000
kdtree_gpu_V100,0.29300880432128906,10000
kdtree_gpu_V100,0.2890000343322754,10000
kdtree_gpu_V100,0.2895472049713135,10000
kdtree_gpu_V100,0.2903320789337158,10000
kdtree_gpu_V100,1.0327107906341553,40000
kdtree_gpu_V100,1.0245048999786377,40000
kdtree_gpu_V100,1.0456464290618896,40000
kdtree_gpu_V100,1.054715633392334,40000
kdtree_gpu_V100,1.0880718231201172,40000
kdtree_gpu_V100,0.9606668949127197,40000
kdtree_gpu_V100,0.9585778713226318,40000
kdtree_gpu_V100,0.97763991355896,40000
kdtree_gpu_V100,0.9503421783447266,40000
kdtree_gpu_V100,0.9681844711303711,40000
kdtree_gpu_V100,11.35692024230957,160000
kdtree_gpu_V100,11.505724906921387,160000
kdtree_gpu_V100,11.378555297851562,160000
kdtree_gpu_V100,11.504583835601807,160000
kdtree_gpu_V100,11.94099497795105,160000
kdtree_gpu_V100,11.375228881835938,160000
kdtree_gpu_V100,11.326385736465454,160000
kdtree_gpu_V100,11.627836465835571,160000
kdtree_gpu_V100,11.324329614639282,160000
kdtree_gpu_V100,12.126300811767578,160000
kdtree_gpu_V100,342.55845165252686,800000
kdtree_gpu_V100,340.2374279499054,800000
kdtree_gpu_V100,335.34432339668274,800000
kdtree_gpu_V100,336.8260598182678,800000
kdtree_gpu_V100,337.85101199150085,800000
kdtree_gpu_V100,337.0034656524658,800000
kdtree_gpu_V100,334.39762473106384,800000
kdtree_gpu_V100,336.75861382484436,800000
kdtree_gpu_V100,336.05767464637756,800000
kdtree_gpu_V100,339.46186089515686,800000
